rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/value_loss
792,6007.34,1033.31423451,254608,8110080,31,-0.002751701637462247,7910,-0.0034656524658203125,44.19160432547331,0.0038008732,0.015771484375,2.7058887481689453,-0.6826229192316532,0.2,6.269999999999998e-05
793,6006.37,1033.21746007,254767,8120320,31,-0.0037236085771291984,7920,0.005652010440826416,22.66462092727423,0.0060847197,0.03708984375,20.601551055908203,-0.6945206423103809,0.2,6.239999999999999e-05
794,6010.15,1032.9198523000002,254927,8130560,31,-0.0024869398906594144,7930,0.00430983304977417,44.202130710184576,0.0049435343,0.023720703125,12.262267112731934,-0.6790769128501415,0.2,6.209999999999998e-05
795,6008.13,1032.9560872600002,255071,8140800,31,-0.002638626873376779,7940,0.012353062629699707,44.259909247756006,0.0057086023,0.04453125,29.84722137451172,-0.6595819118618965,0.2,6.179999999999998e-05
796,6009.7,1032.7942337900001,256077,8151040,31,-0.002198256717820186,7950,0.027660906314849854,22.07961069315672,0.0043221517,0.024580078125,11.254962921142578,-0.6523927982151508,0.2,6.149999999999998e-05
797,6008.1,1032.91414739,256238,8161280,31,-0.00252875728008803,7960,0.009551286697387695,45.23174712330103,0.0048334277,0.021220703125,10.521063804626465,-0.6875161701440811,0.2,6.119999999999998e-05
798,6007.41,1033.00642115,256400,8171520,31,-0.002009615934221074,7970,0.015577197074890137,44.02762705415487,0.0051684505,0.0276171875,26.369319915771484,-0.6713403980433941,0.2,6.089999999999998e-05
799,6012.63,1032.70828112,256537,8181760,31,-0.0020826556923566387,7980,0.022202014923095703,43.78843712672591,0.005684016,0.03783203125,9.72378921508789,-0.6903911583125592,0.2,6.059999999999998e-05
800,6011.69,1032.9392854,256695,8192000,31,-0.004002985143451951,7990,0.02337878942489624,22.54847563698888,0.00609868,0.0407421875,20.88274383544922,-0.6607261300086975,0.2,6.029999999999998e-05
801,6014.67,1032.62787341,257708,8202240,31,-0.0032654024113435297,8000,0.0021599531173706055,44.73541580826044,0.0052134767,0.028681640625,44.699337005615234,-0.690829621553421,0.2,5.999999999999998e-05
