#{"t_start": 1776093006.9713504, "env_id": "None"}
r,l,t
1024.538725,6007,52939.407506
1035.121638,5970,53017.752112
1032.889566,5795,53092.861221
1033.995881,5767,53168.344519
1031.665536,5970,53246.600869
1015.859914,5873,53322.446028
1016.281708,6038,53400.188825
1020.368989,6204,53479.038955
1024.356966,6183,53556.8561027.1024.797284,5982,54304.657661
1027.366542,5975,54377.769366
1026.410677,5847,54446.299704
1024.246516,6015,54515.406818
1011.696622,6125,54588.464999
1036.655152,5760,54657.435069
1038.970172,5856,54728.010458
1018.438184,6123,54797.609165
1024.975316,5991,54867.828315
1016.942772,6101,549381030.64661025.350808,6110,55635.674713
1019.457534,5836,55706.613119
1017.024675,6204,55778.142593
1028.427179,5988,55847.035744
1004.801755,6118,55918.252049
999.534817,6270,55990.233428
1030.793502,5898,56058.240977
1023.623744,6076,56127.471128
1037.773834,5794,56195.815556
1015.204351,6057,56271031.519131007.888936,6024,57083.354857
1016.391817,6120,57162.344009
1009.743771,6197,57241.6513
1013.321176,6037,57321.742193
1038.791845,5846,57402.311074
1024.105298,6154,57484.632215
1026.107722,6022,57564.612037
1036.652723,5969,57645.013391
1023.856621,5873,57722.684245
1004.515962,6210,57805.1010.1391027.557241,5890,58595.941432
1033.547664,5875,58675.856924
1013.014938,6218,58762.679595
1037.797335,5983,58848.958068
1036.02135,5791,58925.173528
1028.474145,5913,59006.178662
1038.765904,5866,59082.943159
1024.030435,5950,59161.096768
1017.672433,6221,59242.170582
1027.668908,6154,59330.1019.4391018.144446,5948,60214.311189
1037.235357,5991,60300.331243
1027.546362,6027,60386.515004
1031.978672,5812,60472.473503
1023.611122,5995,60558.321308
1012.604936,6010,60645.52183
1019.648642,6112,60733.03798
1021.888007,6102,60821.566352
1036.956549,5847,60906.755504
1028.181972,5991,60992.1025.5751023.610583,6178,61895.037273
1018.437168,6030,61981.412632
1033.728019,6056,62070.090826
1018.339852,6183,62157.318981
1020.489328,5972,62243.592924
1027.752741,6226,62334.76739
1016.287205,6065,62422.330849
1025.948046,6126,62510.390595
1026.139427,5915,62598.645822
1032.33091,5796,6261020.5988871018.026544,5880,63549.157686
1028.803782,5964,63635.123037
1019.048416,6063,63723.074687
1033.059153,5852,63801.843022
1031.614859,6014,63880.945123
1023.186828,5989,63958.177359
1031.653896,5753,64035.20444
1026.644122,6051,64111.247123
1014.841566,6157,64190.784752
1016.83146,6145,64261015.744021028.263391,6008,65063.337278
1033.480585,5907,65139.66591
1037.259666,5655,65215.061949
1027.375857,6010,65292.732769
1033.829968,5866,65370.336403
1023.69384,6021,65451.030717
1000.575571,5950,65528.150578
1019.907175,5973,65605.322249
1005.154502,6174,65684.08647
1036.369841,5778,6571033.57427,1011.607533,6037,66542.374094
1025.749372,6125,66624.496148
1008.892826,5995,66707.061537
1022.571361,6006,66787.678875
1024.606161,5835,66865.430753
1030.431337,5983,66951.193784
1025.138599,5923,67035.606772
1026.353958,6044,67115.734998
1038.712544,5929,67194.506607
1017.492067,59841032.845792,5971021.983684,6004,68086.116636
1031.691554,5945,68167.473592
1022.159034,5988,68247.832371
1028.658845,5884,68329.438459
1019.534867,6035,68410.767686
1016.552891,6126,68490.764504
1026.162975,5860,68571.022791
